id_tratta;passeggeri;data
AMS-BRU;53314;01/01/17
AMS-DUS;52031;01/01/17
AMS-PAR;287611;01/01/17
BCN-MAD;576732;01/01/17
BLQ-ROM;60974;01/01/17
DUS-FRA;82942;01/01/17
FRA-STR;84067;01/01/17
GVA-PAR;195016;01/01/17
LON-BRU;14583;01/01/17
LON-PAR;261284;01/01/17
LYS-PAR;113185;01/01/17
MAD-SVQ;73745;01/01/17
MAD-VLC;79191;01/01/17
MAN-LON;170524;01/01/17
NAP-ROM;65915;01/01/17
PAR-BRU;36244;01/01/17
STR-MUC;43954;01/01/17
VLC-BCN;;01/01/17
AMS-BRU;69259;01/04/17
AMS-DUS;58740;01/04/17
AMS-PAR;333232;01/04/17
BCN-MAD;636302;01/04/17
BLQ-ROM;54254;01/04/17
DUS-FRA;108825;01/04/17
FRA-STR;95042;01/04/17
GVA-PAR;180436;01/04/17
LON-BRU;163598;01/04/17
LON-PAR;303605;01/04/17
LYS-PAR;129214;01/04/17
MAD-SVQ;73898;01/04/17
MAD-VLC;81210;01/04/17
MAN-LON;156816;01/04/17
NAP-ROM;76789;01/04/17
PAR-BRU;45774;01/04/17
STR-MUC;43240;01/04/17
VLC-BCN;;01/04/17
AMS-BRU;66005;01/07/17
AMS-DUS;58753;01/07/17
AMS-PAR;328669;01/07/17
BCN-MAD;520998;01/07/17
BLQ-ROM;53775;01/07/17
DUS-FRA;112413;01/07/17
FRA-STR;102106;01/07/17
GVA-PAR;174322;01/07/17
LON-BRU;170568;01/07/17
LON-PAR;328401;01/07/17
LYS-PAR;143388;01/07/17
MAD-SVQ;54523;01/07/17
MAD-VLC;93592;01/07/17
MAN-LON;162724;01/07/17
NAP-ROM;83275;01/07/17
PAR-BRU;48991;01/07/17
STR-MUC;41330;01/07/17
VLC-BCN;;01/07/17
AMS-BRU;65939;01/10/17
AMS-DUS;63931;01/10/17
AMS-PAR;313966;01/10/17
BCN-MAD;607984;01/10/17
BLQ-ROM;66763;01/10/17
DUS-FRA;118633;01/10/17
FRA-STR;89342;01/10/17
GVA-PAR;193903;01/10/17
LON-BRU;171013;01/10/17
LON-PAR;314492;01/10/17
LYS-PAR;134594;01/10/17
MAD-SVQ;98905;01/10/17
MAD-VLC;88071;01/10/17
MAN-LON;175139;01/10/17
NAP-ROM;69818;01/10/17
PAR-BRU;42408;01/10/17
STR-MUC;51265;01/10/17
VLC-BCN;;01/10/17
AMS-BRU;61625;01/01/18
AMS-DUS;61243;01/01/18
AMS-PAR;296625;01/01/18
BCN-MAD;619648;01/01/18
BLQ-ROM;73667;01/01/18
DUS-FRA;94653;01/01/18
FRA-STR;78991;01/01/18
GVA-PAR;192590;01/01/18
LON-BRU;157019;01/01/18
LON-PAR;294027;01/01/18
LYS-PAR;120671;01/01/18
MAD-SVQ;101685;01/01/18
MAD-VLC;87788;01/01/18
MAN-LON;166250;01/01/18
NAP-ROM;63666;01/01/18
PAR-BRU;37162;01/01/18
STR-MUC;49765;01/01/18
VLC-BCN;20612;01/01/18
AMS-BRU;73169;01/04/18
AMS-DUS;62004;01/04/18
AMS-PAR;314213;01/04/18
BCN-MAD;666569;01/04/18
BLQ-ROM;81351;01/04/18
DUS-FRA;113195;01/04/18
FRA-STR;81393;01/04/18
GVA-PAR;177594;01/04/18
LON-BRU;169609;01/04/18
LON-PAR;307102;01/04/18
LYS-PAR;114798;01/04/18
MAD-SVQ;97338;01/04/18
MAD-VLC;89952;01/04/18
MAN-LON;16440;01/04/18
NAP-ROM;89647;01/04/18
PAR-BRU;46062;01/04/18
STR-MUC;52531;01/04/18
VLC-BCN;22269;01/04/18
AMS-BRU;75774;01/07/18
AMS-DUS;65567;01/07/18
AMS-PAR;312386;01/07/18
BCN-MAD;528011;01/07/18
BLQ-ROM;69616;01/07/18
DUS-FRA;117307;01/07/18
FRA-STR;81081;01/07/18
GVA-PAR;170917;01/07/18
LON-BRU;173068;01/07/18
LON-PAR;335999;01/07/18
LYS-PAR;121989;01/07/18
MAD-SVQ;68680;01/07/18
MAD-VLC;95174;01/07/18
MAN-LON;156292;01/07/18
NAP-ROM;92581;01/07/18
PAR-BRU;52050;01/07/18
STR-MUC;52165;01/07/18
VLC-BCN;20183;01/07/18
AMS-BRU;66173;01/10/18
AMS-DUS;64286;01/10/18
AMS-PAR;315002;01/10/18
BCN-MAD;653540;01/10/18
BLQ-ROM;71651;01/10/18
DUS-FRA;100420;01/10/18
FRA-STR;80306;01/10/18
GVA-PAR;180431;01/10/18
LON-BRU;172623;01/10/18
LON-PAR;313645;01/10/18
LYS-PAR;121567;01/10/18
MAD-SVQ;105725;01/10/18
MAD-VLC;86884;01/10/18
MAN-LON;167129;01/10/18
NAP-ROM;72969;01/10/18
PAR-BRU;43290;01/10/18
STR-MUC;52980;01/10/18
VLC-BCN;18803;01/10/18
AMS-BRU;62405;01/01/19
AMS-DUS;59349;01/01/19
AMS-PAR;293018;01/01/19
BCN-MAD;634316;01/01/19
BLQ-ROM;68341;01/01/19
DUS-FRA;83261;01/01/19
FRA-STR;72475;01/01/19
GVA-PAR;186511;01/01/19
LON-BRU;158536;01/01/19
LON-PAR;300721;01/01/19
LYS-PAR;123156;01/01/19
MAD-SVQ;102218;01/01/19
MAD-VLC;85335;01/01/19
MAN-LON;157367;01/01/19
NAP-ROM;64704;01/01/19
PAR-BRU;40646;01/01/19
STR-MUC;48822;01/01/19
VLC-BCN;20829;01/01/19
AMS-BRU;74544;01/04/19
AMS-DUS;63822;01/04/19
AMS-PAR;320373;01/04/19
BCN-MAD;678708;01/04/19
BLQ-ROM;76305;01/04/19
DUS-FRA;97665;01/04/19
FRA-STR;78641;01/04/19
GVA-PAR;182392;01/04/19
LON-BRU;172251;01/04/19
LON-PAR;315346;01/04/19
LYS-PAR;131818;01/04/19
MAD-SVQ;132956;01/04/19
MAD-VLC;80783;01/04/19
MAN-LON;130825;01/04/19
NAP-ROM;80292;01/04/19
PAR-BRU;48653;01/04/19
STR-MUC;47360;01/04/19
VLC-BCN;22235;01/04/19
AMS-BRU;71820;01/07/19
AMS-DUS;65570;01/07/19
AMS-PAR;307832;01/07/19
BCN-MAD;575717;01/07/19
BLQ-ROM;74186;01/07/19
DUS-FRA;103995;01/07/19
FRA-STR;88261;01/07/19
GVA-PAR;169238;01/07/19
LON-BRU;166211;01/07/19
LON-PAR;317985;01/07/19
LYS-PAR;146319;01/07/19
MAD-SVQ;105078;01/07/19
MAD-VLC;88117;01/07/19
MAN-LON;119067;01/07/19
NAP-ROM;91869;01/07/19
PAR-BRU;56;01/07/19
STR-MUC;49258;01/07/19
VLC-BCN;21160;01/07/19
AMS-BRU;72322;01/10/19
AMS-DUS;67214;01/10/19
AMS-PAR;318566;01/10/19
BCN-MAD;684152;01/10/19
BLQ-ROM;69272;01/10/19
DUS-FRA;94462;01/10/19
FRA-STR;81968;01/10/19
GVA-PAR;187355;01/10/19
LON-BRU;178647;01/10/19
LON-PAR;326933;01/10/19
LYS-PAR;135871;01/10/19
MAD-SVQ;146186;01/10/19
MAD-VLC;83982;01/10/19
MAN-LON;146942;01/10/19
NAP-ROM;72106;01/10/19
PAR-BRU;47890;01/10/19
STR-MUC;48077;01/10/19
VLC-BCN;21023;01/10/19
