citta;durata(mm)
Amburgo;13
Amsterdam;6
Barcellona;13
Berlino;16
Bologna;9
Bordeaux;9
Bruxelles;15
Budapest;16
Dusseldorf;30
Edimburgo;3
Francoforte;18
Ginevra;9
Hannover;18
Lilla;17
Lione;22
Londra;15
Madrid;25
Manchester;10
Milano;18
Monaco;27
Monaco ;8
Napoli;14
Nizza;8
Parigi;18
Praga;16
Roma;16
Siviglia;5
Stoccarda;16
Tolosa;10
Torino;12
Valencia;10
Varsavia;17
Venezia;21
Vienna;10
Zagabria;8
Zurigo;1
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
